destination,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C“te d'Ivoire,Croatia,Cuba,Cura‡ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R‚union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Burundi,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  137 611,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  52 794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,  22 974,,,,,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,  9 689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  94 563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,
Eritrea,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 029,,,,,,,,,,,133,,,,189,,,,,,,,,,,  1 659,,,,,,,,,,,107,,,,,429,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,345,,,,,,,,,,,,,,759,,,,,,,,,,,,,,,,,  1 088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,,,,,,,,,,,  2 415,120,  1 465,,,,205,,,,,,,,,,,,,,,,,,,  1 498,,,56,517,,,,,,,,,,,237,319
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,85,,  3 094,,,,,,,  6 498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,  369 822,,  124 792,,,,  17 490,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,121,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 755,,,,,,,,,,,,,,,,,,,,,,,,,,  4 879,,,,,,,,,  1 225,,  21 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 470,,,,,,,,,,,,,,,,,,,  351 773,97,  46 948,,,,  6 580,,,,,,,,,,,,,,,,,,,  288 455,,,,  34 511,,,,,,,,,,,,
Madagascar,,,  3 032,,,,,,,,,,,,,,27,,,80,,,,,,,,,,,,,,,,111,,,,,,,,  2 888,,,,  5 658,,,,,,5,,,,51,,,,,,,59,,,,,,,,,,  10 458,,,,,,271,,,,,,,,,,,,,,,,,  4 509,,,,,,,243,,53,,,,,,,,,,,,32,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,  2 309,,,,,,,,,,,0,,,,126,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,160,,174,,,,,,63,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 276,,,,,,,,,,,,,,,,  1 403,,,,,,,,,,  2 222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  54 435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 598,,,,,,,,,,,,,,,,,,,55,  8 214,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 468,  9 552,,,,,,,,,,,  42 560,  36 924
Mauritius,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,  22 384,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 776,,,,,,347,,,,,,,,,,,,,,,,,  9 162,,,,,,,296,,42,,,,,,,,,,,,,,,,  1 573,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,39,,,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 279,,115,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  55 465,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
